"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.051865671641791,-0.0577082901490827,0.184517739617771,0.641414141414141,0.55050505050505,0.727272727272727,0,0,0
"Eligibility",0.271523178807947,NA,NA,0.772727272727273,NA,NA,0,NA,NA
"Recruitment",-0.013157894736842,NA,NA,0.5,NA,NA,0,NA,NA
"Setting",0,NA,NA,0.818181818181818,NA,NA,0,NA,NA
"Organization",0.131578947368421,NA,NA,0.727272727272727,NA,NA,0,NA,NA
"Flex. delivery",0.0833333333333333,NA,NA,0.590909090909091,NA,NA,0,NA,NA
"Flex. adherence",-0.0190735694822888,NA,NA,0.363636363636364,NA,NA,0,NA,NA
"Follow-up",-0.214723926380368,NA,NA,0.590909090909091,NA,NA,0,NA,NA
"Outcome",0.254237288135593,NA,NA,0.818181818181818,NA,NA,0,NA,NA
"Analysis",0.116071428571428,NA,NA,0.590909090909091,NA,NA,0,NA,NA
