"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.451712057404092,0.400344560592266,0.505529028396435,0.697247706422018,0.67139282735613,0.726438698915763,0,0,0
"A1",0.168996188055909,NA,NA,0.559633027522936,NA,NA,0,NA,NA
"A2",0.408874281018899,NA,NA,0.697247706422018,NA,NA,0,NA,NA
"A3",0.241619228336496,NA,NA,0.596330275229358,NA,NA,0,NA,NA
"A4",0.495703899537343,NA,NA,0.871559633027523,NA,NA,0,NA,NA
"A5",0.234192037470726,NA,NA,0.944954128440367,NA,NA,0,NA,NA
"A6",0.211534701857283,NA,NA,0.660550458715596,NA,NA,0,NA,NA
"A7",0.805072345960007,NA,NA,0.899082568807339,NA,NA,0,NA,NA
"A8",0.637069922308546,NA,NA,0.807339449541284,NA,NA,0,NA,NA
"A9",0.523045507584597,NA,NA,0.724770642201835,NA,NA,0,NA,NA
"A10",0.22633085289067,NA,NA,0.431192660550459,NA,NA,0,NA,NA
"A11",0.045182111572153,NA,NA,0.477064220183486,NA,NA,0,NA,NA
