"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.0878081410380048,0.012664883123185,0.163156671931917,0.327044025157233,0.285115303983228,0.373165618448637,0,0,0
"Eligibility",0.054047259929613,NA,NA,0.377358490566038,NA,NA,0,NA,NA
"Recruitment",-0.0892497844208107,NA,NA,0.264150943396226,NA,NA,0,NA,NA
"Setting",0.0370639534883721,NA,NA,0.207547169811321,NA,NA,0,NA,NA
"Organization",0.109952271522008,NA,NA,0.30188679245283,NA,NA,0,NA,NA
"Flex. delivery",0.219224037339557,NA,NA,0.264150943396226,NA,NA,0,NA,NA
"Flex. adherence",0.0817210511117528,NA,NA,0.377358490566038,NA,NA,0,NA,NA
"Follow-up",-0.265215110178384,NA,NA,0.283018867924528,NA,NA,0,NA,NA
"Outcome",0.0501361161524502,NA,NA,0.547169811320755,NA,NA,0,NA,NA
"Analysis",0.0748776508972269,NA,NA,0.320754716981132,NA,NA,0,NA,NA
