"","cohen_kappa_w","agreement","deferring_fraction"
"combined",0.550571513497446,0.732142857142857,0
"Eligibility",0.588235294117647,0.803571428571429,0
"Recruitment",0.824817518248175,0.892857142857143,0
"Setting",0.0764617691154422,0.714285714285714,0
"Organization",0.514533401325854,0.696428571428571,0
"Flex. delivery",0.347994825355757,0.625,0
"Flex. adherence",0.493103448275862,0.625,0
"Follow-up",0.503325942350333,0.75,0
"Outcome",0.354466858789625,0.732142857142857,0
"Analysis",0.689627870150435,0.75,0
